id,topic,source,section,dialogue_title,dialogue_text,reference_summary_1,reference_summary_2,length_turns,num_speakers,source_url,license,source_type,reference_summary,candidate_summary,human_score,sim_source
manual_001,formal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-1: Formal Greetings,"JAMES: Good morning, Professor Austin, how are you doing?
PROFESSOR AUSTIN: Good morning, James. I am doing well. And you?
JAMES: I’m great, thank you. This is my friend Emma. She is thinking about applying to this college. She has a few questions. Would you mind telling us about the process, please?
PROFESSOR AUSTIN: Hello, Emma! It’s a pleasure to meet you. I’m more than happy to speak with you. Please stop by my office next week.
EMMA: It’s a pleasure to meet you, professor. Thank you so much for helping us.
PROFESSOR AUSTIN: Don’t mention it. Hopefully, I will be able to answer your questions!",James introduces Emma to Professor Austin and asks about the application process; the professor invites them to stop by his office.,"James greets Professor Austin, presents Emma, and the professor agrees to help next week.",6,3,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,James introduces Emma to Professor Austin and asks about the application process; the professor invites them to stop by his office.,"James greets Professor Austin, presents Emma, and the professor agrees to help next week.",2,auto_from_ref2
manual_002,informal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-2: Informal Greetings and Farewells,"JANE: Hi, Helen! How’s it going?
HELEN: Fine, thanks — and you?
JANE: Just fine. Where are you off to?
HELEN: To the library. I’ve got a history exam next week and need to start studying. Ugh.
JANE: Oh, no. Well, I’ll see you later then. Good luck!
HELEN: Thanks. See you later.","Jane greets Helen, learns she is heading to the library to study for a history exam, and wishes her luck before saying goodbye.","Two friends exchange greetings, discuss study plans, and part with good wishes.",6,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,"Jane greets Helen, learns she is heading to the library to study for a history exam, and wishes her luck before saying goodbye.","Two friends exchange greetings, discuss study plans, and part with good wishes.",2,auto_from_ref2
manual_003,formal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-3: Formal Introductions,"MARGARET: Mr. Wilson, I’d like you to meet Dr. Edward Smith.
MR. WILSON: It’s nice to meet you, Dr. Smith.
DR. SMITH: Pleasure to meet you, too.
MARGARET: Dr. Smith is an economist. He just finished writing a book on international trade.
MR. WILSON: Oh? That’s my field, too. I work for the United Nations.
DR. SMITH: In the Development Program, by any chance?
MR. WILSON: Yes. How did you guess?
DR. SMITH: I’ve read your articles on technical assistance. They’re excellent.",Margaret formally introduces Mr. Wilson and Dr. Smith; they discover shared professional interests and compliment each other’s work.,A formal introduction leads to a brief exchange about international trade and UN work.,8,3,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Margaret formally introduces Mr. Wilson and Dr. Smith; they discover shared professional interests and compliment each other’s work.,A formal introduction leads to a brief exchange about international trade and UN work.,2,auto_from_ref2
manual_004,informal_introductions,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-4: Informal Introductions,"JIM: Who’s the tall woman next to Barbara?
CHARLES: That’s her friend Mary. Didn’t you meet her at Steve’s party?
JIM: No, I wasn’t at Steve’s party.
CHARLES: Oh! Then let me introduce you to her now. Mary, this is my friend Jim.
MARY: Hi, Jim. Nice to meet you.
JIM: You, too. Would you like a drink?
MARY: Sure, let’s go get one.",Charles introduces his friend Jim to Mary at a social event; they decide to get a drink together.,An informal introduction at a party results in friendly small talk and moving to get drinks.,7,3,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Charles introduces his friend Jim to Mary at a social event; they decide to get a drink together.,An informal introduction at a party results in friendly small talk and moving to get drinks.,2,auto_from_ref2
manual_005,time_and_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-5: What Time Is It?,"NATASHA: What time is it? We’re going to be late!
TONY: It’s a quarter after seven. We’re on time. Don’t panic.
NATASHA: But I thought we had to be at the restaurant by 7:30 for the surprise party. We’ll never make it there with all this evening traffic.
TONY: Sure we will. Rush hour is almost over. Anyway, the party starts at 8:00. But I do need help with directions. Can you call the restaurant and ask them where we park our car?","Natasha worries about being late for a surprise party, but Tony reassures her they have time and asks her to call for directions.",A couple coordinates timing and directions for a dinner event amid evening traffic.,4,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,"Natasha worries about being late for a surprise party, but Tony reassures her they have time and asks her to call for directions.",A couple coordinates timing and directions for a dinner event amid evening traffic.,2,auto_from_ref2
manual_006,making_plans,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-6: A Telephone Call,"JOHN: Hi, Alice, it’s John. How are you?
ALICE: Oh, hi, John! I was just thinking about you.
JOHN: I was wondering if you’d like to go to a movie tonight.
ALICE: Sure, I’d love to! What’s playing?
JOHN: I was thinking about that new comedy Lights Out. What do you think?
ALICE: Sounds great!","John calls Alice to invite her to a movie, and she agrees enthusiastically.",A friendly phone call results in plans to see a new comedy together.,6,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,"John calls Alice to invite her to a movie, and she agrees enthusiastically.",A friendly phone call results in plans to see a new comedy together.,3,auto_from_ref2
manual_007,weather_report,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-9: Weather Report (excerpt),"JENNIFER: What happened to the weather report? I thought this cold front was supposed to pass.
GABRIELA: Yeah, I thought so too. That’s what I read online this morning.
JENNIFER: I guess the wind chill is really driving down the temperature.
GABRIELA: Can we go inside? I feel like my toes are starting to go numb.",Two friends comment on a lingering cold front and decide to go inside as the wind chill lowers the temperature.,They discuss unexpected cold weather and seek warmth indoors.,4,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Two friends comment on a lingering cold front and decide to go inside as the wind chill lowers the temperature.,They discuss unexpected cold weather and seek warmth indoors.,1,auto_from_ref2
manual_001w_1,formal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-1: Formal Greetings (window 1),"JAMES: Good morning, Professor Austin, how are you doing?
PROFESSOR AUSTIN: Good morning, James. I am doing well. And you?",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,3,auto_from_ref2
manual_001w_2,formal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-1: Formal Greetings (window 2),"JAMES: I’m great, thank you. This is my friend Emma. She is thinking about applying to this college. She has a few questions. Would you mind telling us about the process, please?
PROFESSOR AUSTIN: Hello, Emma! It’s a pleasure to meet you. I’m more than happy to speak with you. Please stop by my office next week.",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,3,auto_from_ref2
manual_001w_3,formal_greetings,Everyday Conversations: Learning American English (U.S. Dept. of State),Introductions and Small Talk,Dialogue 1-1: Formal Greetings (window 3),"EMMA: It’s a pleasure to meet you, professor. Thank you so much for helping us.
PROFESSOR AUSTIN: Don’t mention it. Hopefully, I will be able to answer your questions!",Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,2,2,https://moustanad.com/assets/uploads/subjects/b_dialogues_everyday_conversations_english_lo_0.pdf,Public domain (U.S. Government work),public_domain,Windowed excerpt of the dialogue capturing a coherent exchange.,A short exchange extracted verbatim to enable fine-grained summarization evaluation.,3,auto_from_ref2
