id,reference
835,Reference text for id 835 describing its meaning representation.
835,Human-written text for id 835 describing its meaning representation.
835,Gold text for id 835 describing its meaning representation.
128,Reference text for id 128 describing its meaning representation.
128,Human-written text for id 128 describing its meaning representation.
128,Gold text for id 128 describing its meaning representation.
580,Reference text for id 580 describing its meaning representation.
580,Human-written text for id 580 describing its meaning representation.
580,Gold text for id 580 describing its meaning representation.
597,Reference text for id 597 describing its meaning representation.
597,Human-written text for id 597 describing its meaning representation.
597,Gold text for id 597 describing its meaning representation.
1068,Reference text for id 1068 describing its meaning representation.
1068,Human-written text for id 1068 describing its meaning representation.
1068,Gold text for id 1068 describing its meaning representation.
667,Reference text for id 667 describing its meaning representation.
667,Human-written text for id 667 describing its meaning representation.
667,Gold text for id 667 describing its meaning representation.
606,Reference text for id 606 describing its meaning representation.
606,Human-written text for id 606 describing its meaning representation.
606,Gold text for id 606 describing its meaning representation.
1542,Reference text for id 1542 describing its meaning representation.
1542,Human-written text for id 1542 describing its meaning representation.
1542,Gold text for id 1542 describing its meaning representation.
1673,Reference text for id 1673 describing its meaning representation.
1673,Human-written text for id 1673 describing its meaning representation.
1673,Gold text for id 1673 describing its meaning representation.
904,Reference text for id 904 describing its meaning representation.
904,Human-written text for id 904 describing its meaning representation.
904,Gold text for id 904 describing its meaning representation.
534,Reference text for id 534 describing its meaning representation.
534,Human-written text for id 534 describing its meaning representation.
534,Gold text for id 534 describing its meaning representation.
1424,Reference text for id 1424 describing its meaning representation.
1424,Human-written text for id 1424 describing its meaning representation.
1424,Gold text for id 1424 describing its meaning representation.
1222,Reference text for id 1222 describing its meaning representation.
1222,Human-written text for id 1222 describing its meaning representation.
1222,Gold text for id 1222 describing its meaning representation.
76,Reference text for id 76 describing its meaning representation.
76,Human-written text for id 76 describing its meaning representation.
76,Gold text for id 76 describing its meaning representation.
688,Reference text for id 688 describing its meaning representation.
688,Human-written text for id 688 describing its meaning representation.
688,Gold text for id 688 describing its meaning representation.
619,Reference text for id 619 describing its meaning representation.
619,Human-written text for id 619 describing its meaning representation.
619,Gold text for id 619 describing its meaning representation.
1360,Reference text for id 1360 describing its meaning representation.
1360,Human-written text for id 1360 describing its meaning representation.
1360,Gold text for id 1360 describing its meaning representation.
278,Reference text for id 278 describing its meaning representation.
278,Human-written text for id 278 describing its meaning representation.
278,Gold text for id 278 describing its meaning representation.
457,Reference text for id 457 describing its meaning representation.
457,Human-written text for id 457 describing its meaning representation.
457,Gold text for id 457 describing its meaning representation.
650,Reference text for id 650 describing its meaning representation.
650,Human-written text for id 650 describing its meaning representation.
650,Gold text for id 650 describing its meaning representation.
1155,Reference text for id 1155 describing its meaning representation.
1155,Human-written text for id 1155 describing its meaning representation.
1155,Gold text for id 1155 describing its meaning representation.
1468,Reference text for id 1468 describing its meaning representation.
1468,Human-written text for id 1468 describing its meaning representation.
1468,Gold text for id 1468 describing its meaning representation.
325,Reference text for id 325 describing its meaning representation.
325,Human-written text for id 325 describing its meaning representation.
325,Gold text for id 325 describing its meaning representation.
2033,Reference text for id 2033 describing its meaning representation.
2033,Human-written text for id 2033 describing its meaning representation.
2033,Gold text for id 2033 describing its meaning representation.
2034,Reference text for id 2034 describing its meaning representation.
2034,Human-written text for id 2034 describing its meaning representation.
2034,Gold text for id 2034 describing its meaning representation.
1520,Reference text for id 1520 describing its meaning representation.
1520,Human-written text for id 1520 describing its meaning representation.
1520,Gold text for id 1520 describing its meaning representation.
1172,Reference text for id 1172 describing its meaning representation.
1172,Human-written text for id 1172 describing its meaning representation.
1172,Gold text for id 1172 describing its meaning representation.
1083,Reference text for id 1083 describing its meaning representation.
1083,Human-written text for id 1083 describing its meaning representation.
1083,Gold text for id 1083 describing its meaning representation.
1138,Reference text for id 1138 describing its meaning representation.
1138,Human-written text for id 1138 describing its meaning representation.
1138,Gold text for id 1138 describing its meaning representation.
463,Reference text for id 463 describing its meaning representation.
463,Human-written text for id 463 describing its meaning representation.
463,Gold text for id 463 describing its meaning representation.
1614,Reference text for id 1614 describing its meaning representation.
1614,Human-written text for id 1614 describing its meaning representation.
1614,Gold text for id 1614 describing its meaning representation.
475,Reference text for id 475 describing its meaning representation.
475,Human-written text for id 475 describing its meaning representation.
475,Gold text for id 475 describing its meaning representation.
1696,Reference text for id 1696 describing its meaning representation.
1696,Human-written text for id 1696 describing its meaning representation.
1696,Gold text for id 1696 describing its meaning representation.
1046,Reference text for id 1046 describing its meaning representation.
1046,Human-written text for id 1046 describing its meaning representation.
1046,Gold text for id 1046 describing its meaning representation.
395,Reference text for id 395 describing its meaning representation.
395,Human-written text for id 395 describing its meaning representation.
395,Gold text for id 395 describing its meaning representation.
34,Reference text for id 34 describing its meaning representation.
34,Human-written text for id 34 describing its meaning representation.
34,Gold text for id 34 describing its meaning representation.
1783,Reference text for id 1783 describing its meaning representation.
1783,Human-written text for id 1783 describing its meaning representation.
1783,Gold text for id 1783 describing its meaning representation.
863,Reference text for id 863 describing its meaning representation.
863,Human-written text for id 863 describing its meaning representation.
863,Gold text for id 863 describing its meaning representation.
971,Reference text for id 971 describing its meaning representation.
971,Human-written text for id 971 describing its meaning representation.
971,Gold text for id 971 describing its meaning representation.
1495,Reference text for id 1495 describing its meaning representation.
1495,Human-written text for id 1495 describing its meaning representation.
1495,Gold text for id 1495 describing its meaning representation.
591,Reference text for id 591 describing its meaning representation.
591,Human-written text for id 591 describing its meaning representation.
591,Gold text for id 591 describing its meaning representation.
1304,Reference text for id 1304 describing its meaning representation.
1304,Human-written text for id 1304 describing its meaning representation.
1304,Gold text for id 1304 describing its meaning representation.
1523,Reference text for id 1523 describing its meaning representation.
1523,Human-written text for id 1523 describing its meaning representation.
1523,Gold text for id 1523 describing its meaning representation.
392,Reference text for id 392 describing its meaning representation.
392,Human-written text for id 392 describing its meaning representation.
392,Gold text for id 392 describing its meaning representation.
1603,Reference text for id 1603 describing its meaning representation.
1603,Human-written text for id 1603 describing its meaning representation.
1603,Gold text for id 1603 describing its meaning representation.
115,Reference text for id 115 describing its meaning representation.
115,Human-written text for id 115 describing its meaning representation.
115,Gold text for id 115 describing its meaning representation.
1435,Reference text for id 1435 describing its meaning representation.
1435,Human-written text for id 1435 describing its meaning representation.
1435,Gold text for id 1435 describing its meaning representation.
1994,Reference text for id 1994 describing its meaning representation.
1994,Human-written text for id 1994 describing its meaning representation.
1994,Gold text for id 1994 describing its meaning representation.
645,Reference text for id 645 describing its meaning representation.
645,Human-written text for id 645 describing its meaning representation.
645,Gold text for id 645 describing its meaning representation.
1221,Reference text for id 1221 describing its meaning representation.
1221,Human-written text for id 1221 describing its meaning representation.
1221,Gold text for id 1221 describing its meaning representation.
1720,Reference text for id 1720 describing its meaning representation.
1720,Human-written text for id 1720 describing its meaning representation.
1720,Gold text for id 1720 describing its meaning representation.
1879,Reference text for id 1879 describing its meaning representation.
1879,Human-written text for id 1879 describing its meaning representation.
1879,Gold text for id 1879 describing its meaning representation.
65,Reference text for id 65 describing its meaning representation.
65,Human-written text for id 65 describing its meaning representation.
65,Gold text for id 65 describing its meaning representation.
727,Reference text for id 727 describing its meaning representation.
727,Human-written text for id 727 describing its meaning representation.
727,Gold text for id 727 describing its meaning representation.
594,Reference text for id 594 describing its meaning representation.
594,Human-written text for id 594 describing its meaning representation.
594,Gold text for id 594 describing its meaning representation.
1491,Reference text for id 1491 describing its meaning representation.
1491,Human-written text for id 1491 describing its meaning representation.
1491,Gold text for id 1491 describing its meaning representation.
658,Reference text for id 658 describing its meaning representation.
658,Human-written text for id 658 describing its meaning representation.
658,Gold text for id 658 describing its meaning representation.
1472,Reference text for id 1472 describing its meaning representation.
1472,Human-written text for id 1472 describing its meaning representation.
1472,Gold text for id 1472 describing its meaning representation.
1965,Reference text for id 1965 describing its meaning representation.
1965,Human-written text for id 1965 describing its meaning representation.
1965,Gold text for id 1965 describing its meaning representation.
1715,Reference text for id 1715 describing its meaning representation.
1715,Human-written text for id 1715 describing its meaning representation.
1715,Gold text for id 1715 describing its meaning representation.
848,Reference text for id 848 describing its meaning representation.
848,Human-written text for id 848 describing its meaning representation.
848,Gold text for id 848 describing its meaning representation.
1564,Reference text for id 1564 describing its meaning representation.
1564,Human-written text for id 1564 describing its meaning representation.
1564,Gold text for id 1564 describing its meaning representation.
2135,Reference text for id 2135 describing its meaning representation.
2135,Human-written text for id 2135 describing its meaning representation.
2135,Gold text for id 2135 describing its meaning representation.
724,Reference text for id 724 describing its meaning representation.
724,Human-written text for id 724 describing its meaning representation.
724,Gold text for id 724 describing its meaning representation.
336,Reference text for id 336 describing its meaning representation.
